titleNo,language,communityAuthorId,title,writingAuthorName,representGenre,restTerminationStatus,newTitle,ageGradeNotice,registerYmdt,thumbnail,thumbnailIpad,starScoreAverage,starScoreCount,readCount,favoriteCount,mana,rankingMana,likeitCount,lastEpisodeRegisterYmdt,synopsis,totalServiceEpisodeCount,serviceStatus,badgeType,authorNeoId,thumbnailVertical,previewDisabled,service,genreColor,titleForSeo,representGenreCssCode,representGenreSeoCode,webtoonType,starScoreTotal
300138,ENGLISH,o6ocb,The Little Trashmaid,s0s2,COMEDY,SERIES,False,False,1558464848000,/20210512_221/1620803524068sbgtd_JPEG/7b9a0504-bebd-4795-92db-5aa0d8659677.jpg,/20210512_221/1620803524068sbgtd_JPEG/7b9a0504-bebd-4795-92db-5aa0d8659677.jpg,9.77,39836,258425713,1652368,88874,0,17332131,1731697201000,"Short comic strips of a mermaid in the modern days~

Updates every two weeks (on friday)


Twitter: @s0s2
Tumblr: s0s2
Instagram: s0s2tagram
Youtube: s0s2",158,SERVICE,FAVORITE,0c501bc0-218e-11e9-ba07-246e96398d40,/20210512_244/1620805412263FQIT3_JPEG/1cff3071-bc7f-43cd-948d-fb1ac815d32d.jpg,False,True,EEA800,the-little-trashmaid,comedy,comedy,CHALLENGE,0
329660,ENGLISH,h99hj,Heartstopper,Alice Oseman,ROMANCE,SERIES,False,False,1566745373000,/20210905_148/1630836658610vcSff_PNG/24bae66d-9c6e-4aae-9ce6-5c3a2af6e4c7.png,/20210905_148/1630836658610vcSff_PNG/24bae66d-9c6e-4aae-9ce6-5c3a2af6e4c7.png,9.89,142349,555977249,2137136,81006,0,24711930,1732186801000,"Charlie, a highly-strung, openly gay over-thinker, and Nick, a cheerful, soft-hearted rugby player, meet at a British all-boys grammar school. Friendship blooms quickly, but could there be something more...?
***
Now available as physical books! For more info: www.aliceoseman.com",220,SERVICE,FAVORITE,d4d31ec0-b8e8-11e9-9a93-246e96487c00,/20210905_41/1630836791772jhBJt_JPEG/b7f902b3-d757-49b4-8867-cd01c5e82394.jpg,False,True,FD337F,heartstopper,romance,romance,CHALLENGE,0
135963,ENGLISH,w7m5o,Nerd and Jock,Marko R,COMEDY,SERIES,False,False,1513522681000,/20210516_156/1621092039288a5s4d_PNG/2cd2b59f-9fec-4deb-a0b4-27321b827c64.png,/20210516_156/1621092039288a5s4d_PNG/2cd2b59f-9fec-4deb-a0b4-27321b827c64.png,9.68,9668,129425032,583003,72931,0,7086183,1732376334000,"Sometimes friendships go beyond stereotypes! Adventures of Nerd and Jock. - Updates 3-5 times a month.

Read newest episodes early + exclusive episodes on my Patreon!",272,SERVICE,FAVORITE,553d0b10-2017-11e7-a2ab-00000000041f,/20210516_269/1621092024813RzDhq_PNG/064473e4-c037-436d-8a9c-029ffdbf0cf4.png,False,True,EEA800,nerd-and-jock,comedy,comedy,CHALLENGE,0
656579,ENGLISH,17iwe,Boy Girlfriend,Pastaflavour,ROMANCE,SERIES,False,True,1624225642000,/20211123_11/1637671839513MvqmJ_JPEG/181b3044-d554-44a3-9cf0-d443cee18671.jpeg,/20211123_11/1637671839513MvqmJ_JPEG/181b3044-d554-44a3-9cf0-d443cee18671.jpeg,9.59,48506,143373764,912176,71715,0,7299476,1731781200000,An idiot convinces his male childhood friend to dress up and act like his girlfriend so he&rsquo;ll show his crush that he&rsquo;s mature and cool. [Updates every week],156,SERVICE,FAVORITE,4e4b7d10-f677-11e6-adde-000000004185,/20211128_143/1638044288222RSvys_JPEG/9a4ae7c4-c48e-4230-8ecc-5cdfe0d3fc3e.jpeg,False,True,FD337F,boy-girlfriend,romance,romance,CHALLENGE,0
574002,ENGLISH,j97u1,Spicy Mints,Remmul,SLICE_OF_LIFE,SERIES,False,False,1609529526000,/20240103_76/1704238906581YxPDs_JPEG/ffdc244a-faba-4c55-bedb-c3e5077e32d85631917058363666451.jpg,/20240103_76/1704238906581YxPDs_JPEG/ffdc244a-faba-4c55-bedb-c3e5077e32d85631917058363666451.jpg,9.63,10329,25580364,239539,53956,0,2095348,1731889200000,"*Updates every other Sunday*
Gay college student falls in love with an idiot.",104,SERVICE,FAVORITE,d13762d0-fc19-11e8-a178-a0086f45fdc6,/20210523_65/1621741524359fJYqb_JPEG/9db6928b-c0f4-4976-98b2-b60555db389f.jpg,False,True,9AB710,spicy-mints,slice_of_life,slice-of-life,CHALLENGE,0
845876,ENGLISH,ob4k0,I Think I Like You,YeenTrash,SLICE_OF_LIFE,SERIES,False,False,1676238480000,/20240930_73/1727663378846xBcPb_JPEG/ac1a7f2e-6ec0-4fc5-8085-17a670f1c50014977336029896140145.jpg,/20240930_73/1727663378846xBcPb_JPEG/ac1a7f2e-6ec0-4fc5-8085-17a670f1c50014977336029896140145.jpg,9.68,13026,24427652,274216,45922,0,1536877,1731787201000,An unfortunate timing for a package delivery crossed Leon&rsquo;s and Sky&rsquo;s paths. Coincidence? Destiny? There&rsquo;s much to unfold and many secrets to come to light.,78,SERVICE,FAVORITE,a0baca50-9b6d-11ed-99ef-246e96487f70,/20230213_42/1676238382927x4CAa_PNG/6fb7b75e-b253-401e-8d1c-ed60e1e402b24461141144998193742.png,False,True,9AB710,i-think-i-like-you,slice_of_life,slice-of-life,CHALLENGE,0
693372,ENGLISH,d7v75,Crow Time,Secondlina_Isa,COMEDY,SERIES,False,False,1633396147000,/20240408_279/1712548929813q5cnb_JPEG/0f1c3f75-011f-42bf-83e3-db00f0d5062717367030529659734511.jpg,/20240408_279/1712548929813q5cnb_JPEG/0f1c3f75-011f-42bf-83e3-db00f0d5062717367030529659734511.jpg,9.78,5904,32425517,366962,42522,0,4644567,1731906001000,Short silly comics about a shameless murder of crows and the other creatures lucky enough to roam the nearby lands. [Updates Mondays.],163,SERVICE,FAVORITE,68dd3eb0-ada1-11e8-b411-246e9648766c,/20240408_43/1712548738999I6L62_JPEG/dfe29172-baa5-4714-94c9-a8c9d97d93936725850114814348943.jpg,False,True,EEA800,crow-time,comedy,comedy,CHALLENGE,0
814884,ENGLISH,w7ml9,Mythed Up,MaccusNormann,SUPERNATURAL,SERIES,False,False,1665684013000,/20230607_136/168608254956303r9o_JPEG/bc488d70-5e8e-442f-942e-515aa68a88bc6311473481049871751.jpg,/20230607_136/168608254956303r9o_JPEG/bc488d70-5e8e-442f-942e-515aa68a88bc6311473481049871751.jpg,9.29,1263,15163446,152990,36894,0,1102548,1732144306000,"In a modern world where the barriers between the Supernatural and Natural vanished hundreds of years ago, seeing a centaur working as a personal trainer and a harpy running a courier service isn&#39;t out of the ordinary. Though, as in any version of our world, people are still people.


Updates every Wednesday",111,SERVICE,FAVORITE,563cc5a0-0d8b-11ea-9ec5-246e964ce648,/20230912_291/1694456585531A80cx_JPEG/7f2bb5bb-0577-40ec-b2f3-c747a47e339e1417578609673566629.jpg,False,True,7A41E9,mythed-up,supernatural,supernatural,CHALLENGE,0
893401,ENGLISH,t95t7,Golden Hour,stephattyy,SLICE_OF_LIFE,SERIES,False,False,1691996071000,/20230814_210/1691995464109BMMPH_JPEG/ab1d6caa-2593-45f5-9d9f-1e00967a47ed7069203983895441160.jpg,/20230814_210/1691995464109BMMPH_JPEG/ab1d6caa-2593-45f5-9d9f-1e00967a47ed7069203983895441160.jpg,9.85,7345,18675262,348450,36652,0,1501357,1732176031000,"SLOW BURN/ROMANCE || Disgruntled, jaded and broke, Jeremiah is tired of the mundane life. His twenties are as dull as he can imagine, until a golden, excitable, four-legged friend decides to join him on his walk home. What Jeremiah doesn&rsquo;t know is that his new furry companion would bring more than a few surprises, and among them being an unlikely friendship that will propel him into a whirlwind of emotions he did NOT sign up for. He can&rsquo;t tell if it&rsquo;s a good thing... only one way to find out.",66,SERVICE,FAVORITE,cce3e750-9512-11eb-9d97-246e964ce59c,/20230814_286/1691995629418A2Xdh_JPEG/511cd612-a472-4c3f-a6e2-994e6aab8e4c4750035269043765534.jpg,False,True,9AB710,golden-hour,slice_of_life,slice-of-life,CHALLENGE,0
304446,ENGLISH,525th,Meme Girls,Merryweather Media,COMEDY,SERIES,False,False,1559536553000,/20220319_140/1647618346982oTxgn_JPEG/425e9473-9667-468e-b2e2-ebd9cf72e570.jpg,/20220319_140/1647618346982oTxgn_JPEG/425e9473-9667-468e-b2e2-ebd9cf72e570.jpg,9.22,17837,184100602,983133,36497,0,14015207,1732075042000,"Memes, gaming consoles, and websites turned into anime girls! Please enjoy this compilation of meme comics, oneshots, and shorts from the team behind Merryweather Comics!",272,SERVICE,FAVORITE,2cb2f5c0-74a1-11e4-8f91-00000000041d,/20220319_268/1647618476355LUC0O_JPEG/f8515954-54fc-4ab7-af0d-65c9be72f765.jpg,False,True,EEA800,meme-girls,comedy,comedy,CHALLENGE,0
