title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
7131,Der geniale Schwertkämpfer der Akademie,FANTASY,"SeoGwando,C.H",TUESDAY,4,3500,9.85,25950,1019,ONGOING,False,"Nach einer folgenschweren Schlacht gegen Riesen, in der es um das Schicksal der Welt geht, geht Ronan als letzter Mann der kaiserlichen Armee als Sieger hervor. Doch während er an der Seite seiner sterbenden Befehlshaberin, Großmarschallin Adeshan, steht, wird schnell klar: Der Kampf gegen die Riesen war erst der Anfang. Adeshan, die in dem mutigen Ronan die einzige Hoffnung für die Menschheit sieht, nutzt ihre letzte Chance auf eine Rückkehr in die Vergangenheit, um ihn 10 Jahre zurück zu schicken. Nun gilt es für Ronan, sich an der angesehenen Phileon-Akademie einzuschreiben und der stärkste Schwertkämpfer zu werden, den das Kaiserreich je gesehen hat!"
7067,Adoptiert von einer Assassinenfamilie,DRAMA,"Rogang,Da-Woo,URang",MONDAY,6,6396,9.94,72609,2933,ONGOING,False,"15 Jahre lang lebte Agnes ein Leben, in dem ihre magische Heilkraft von Adligen ausgenutzt wird. Als ihre Lebenskraft komplett verbraucht ist, stirbt sie eines einsamen Todes. Wie durch ein Wunder erhält sie die Chance, ein neues Leben zu beginnen. Um diesmal einem tragischen Ende zu entkommen, wird sie zur Adoptivtochter einer mächtigen Familie. Doch zu ihrer großen Überraschung ist diese Familie keine gewöhnliche Familie ... Wird es ihr gelingen, in dieser mysteriösen Familie ihr Glück zu finden?"
7048,Des Dämons Wunsch,ROMANCE,"Zigozi9,Muneki",THURSDAY,7,4879,9.71,58092,2463,ONGOING,False,"Doya ist ein Dämon, der sich vom Verlangen von Frauen ernährt und ihnen im Gegenzug Wünsche erfüllt. Dieser Schürzenjäger hatte noch nie Probleme mit Frauen, zumindest so lange, bis er unvermittelt auf eine Studentin namens Wish trifft. Er kann nicht verstehen, warum Wish ihn so dermaßen irritiert und gleichzeitig auch fasziniert. Deshalb bietet er ihr einen Deal an, der sowohl ihr als auch sein eigenes Leben auf den Kopf stellen wird: „Ein Wunsch für einen Kuss. Was sagst du?“."
6923,Just Twilight,DRAMA,"Kang Ki,Woo Jihye",SUNDAY,10,5385,9.76,86157,3837,ONGOING,False,"Junyeong, die beste Schülerin an ihrer Schule auf dem Land, hat es aufgrund ihrer persönlichen Situation schwer, sich auf das Lernen zu konzentrieren. Somit fängt sie an, ein leerstehendes Haus als Rückzugsort zu nutzen, um dort jeden Tag nach der Schule zu lernen. Schnell findet sie jedoch heraus, dass das Haus bereits von Beomjin, einem als Schläger berüchtigten Jungen an ihrer Schule, als Ort für seine Nickerchen genutzt wird. Die beiden vereinbaren, heimlich an diesem Ort die Zeit gemeinsam zu verbringen. Schnell merken die beiden, dass sie doch mehr verbindet, als es auf den ersten Blick scheint ...
"
6885,Mafia Nanny,ROMANCE,"sh00,Violet Matter,WmW",FRIDAY,11,6246,9.8,95660,4721,ONGOING,False,"Die Arbeit als Elite-Nanny ist eigentlich ganz einfach: das Ziel beschützen, stets den Prinzipien gehorchen und sich an niemanden emotional binden. Leichter gesagt als getan, wenn Davinas erster Klient der gefährlich verführerische venezianische Unterboss Gabriel Angelini ist. Noch dazu: Davinas Schützling stellt sich als Gabriels verschmitzter Sohn Mikey heraus, der es ihr mit seinem Hang zum Chaos nicht gerade leicht macht. 

Was ihr Klient wirklich von ihr will, ist Davina noch nicht klar, aber Gabriel zieht sie zurück in die glitzernde Welt des organisierten Verbrechens, von der sie dachte, sie hätte sie für immer hinter sich gelassen. Wird es Davina gelingen, Antworten auf ihre Vergangenheit zu finden, ohne vom verräterischen Netz der Unterwelt verschlungen zu werden? "
6797,Ein Kind wie ich,ROMANCE,"FLADA,PATNOC",FRIDAY,14,4469,9.63,93537,4588,ONGOING,False,"Eine überraschende Schwangerschaft versetzt die junge Studentin Jeongo in Panik. Ihr Freund Jiheon steht an ihrer Seite und plant insgeheim sogar einen Heiratsantrag, doch ein Autounfall lässt alle seine jüngsten Erinnerungen verschwinden. Sieben Jahre später treffen die beiden sich unerwartet wieder - aber Jiheon kann sich weder an Jeongo noch an die Tatsache erinnern, dass sie eine gemeinsame Tochter haben.
"
6750,Taming the Corrupted,FANTASY,"LICO,Purple village",THURSDAY,3,6284,9.82,133496,7371,ONGOING,True,"Arlenne ist die einzige Tochter des Grafentums Serkia, einer einflussreichen Familie mit geheimen Heilkräften. Sie nutzt diese Kräfte, um den Herzog, mit dem sie verlobt ist, von seiner Herzkrankheit zu heilen, wird jedoch von ihm verraten und getötet. Sie reist vier Jahre in die Vergangenheit und schwört sich, in diesem neuen Leben ihr Leben und das ihres Vaters zu schützen, sowie die Schandtaten des Herzogs ans Licht zu bringen. Dafür adoptiert sie Kasadin, einen mächtigen Schwertkämpfer und Sklaven aus der Gladiatoren-Arena, als ihren kleinen Bruder. Doch auch Kasadin verbirgt so manch dunkles Geheimnis …"
6716,Die Abenteuer des Biberphönix,COMEDY,Castorphénix,FRIDAY,7,213,8.33,3167,193,HIATUS,False,"Der Biberphönix ist ein Hybrid aus einem Phönix und einem Biber. Seine besondere Fähigkeit, durch sein Ableben Feuer zu entfachen, wird gerne von den Bibern ausgenutzt, die ihn ständig töten, um Grillabende zu veranstalten. Der Biberphönix, der genug von dieser Gewalt hat, macht sich auf die Suche nach seiner verschwundenen Familie väterlicherseits: den Phönixen ..."
6715,Amrita,FANTASY,STUDIO MYRÀ,THURSDAY,14,650,8.2,8306,654,HIATUS,False,"In der zweiten Hälfte des 21. Jahrhunderts, als die natürlichen Ressourcen zur Neige gehen und die Welt in Krieg und Anarchie versinkt, wird Carma, die gegen ihre Familie rebelliert, zum Mittelpunkt eines Experiments, das virtuell eine alternative Realität schaffen soll."
6714,Arlo,COMEDY,Valii_,WEDNESDAY,10,216,8.33,3369,318,HIATUS,False,"Die gewagten Abenteuer einer Gruppe, die ebenso ungewöhnlich wie unwahrscheinlich ist. Entdecke in einem Wirbelsturm aus Ohrfeigen, Magie und Fantasie die Geschichte der unbekannten Helden, die den Kontinent Vlafone retten müssen."
6706,Mein Yakuza,ROMANCE,Kote Factory,TUESDAY,15,1705,8.81,32520,2207,HIATUS,False,"Es genügte eine Begegnung an einer Straßenecke, um ihr Leben zu verändern. Jade, eine junge Studentin, trifft Kyo, den Sohn eines mächtigen Yakuza, während er mitten in einer Verfolgungsjagd ist. Nach dieser ersten ereignisreichen Begegnung bemerkt Jade, dass Kyo sich offenbar besonders für sie interessiert ..."
6705,Have you Seen this Man,HORROR,"LSengrade,Blakendwite",MONDAY,12,375,7.9,4927,270,HIATUS,False,"Habe ich diesen Mann gesehen? Dies ist die Frage, die sich ein Psychiater aus Chicago, ein Pariser Model und ein japanischer Gymnasiast stellen. Nichts verbindet sie, doch alle werden in ihren Träumen vom Gesicht dieses Individuums heimgesucht  ... Was, wenn es nicht nur ein Albtraum ist?"
6704,KESTREL: Der Vogel im Käfig,FANTASY,Cha Wolf,SUNDAY,19,4422,9.45,93259,5142,ONGOING,False,"Violettas Leben ändert sich schlagartig, als sie erfährt, dass ihre kleine Schwester ihren Verlobten gestohlen hat. Und dass die beiden gemeinsam vorhatten, sie loszuwerden. Doch  diese Probleme werden schnell zur Nebensache, da die Elfen die Stadt Kapnov angreifen, um die Menschheit zu versklaven. Auf der Flucht unterbreitet ein rätselhafter Elf Violetta einen gefährlichen Deal und sie trifft zudem auf einen attraktiven Arzt, der sie zu kennen scheint ..."
6683,The Reborn Young Lord is an Assassin,FANTASY,"swingbat,CoffeeLime",FRIDAY,20,8700,9.75,207595,8449,ONGOING,False,"Cyan Vert, der uneheliche Sohn des Herzogs und der mächtigste Attentäter des Reiches, lebte stets im Schatten seines älteren Bruders. Doch all die Aufopferungen für seine Familie werden ihm an Ende nur damit zurückgezahlt, dass er von seinem Bruder verraten wird. Doch kurz vor dem finalen Todesstoß wacht Cyan auf und stellt fest, dass er wieder ein zehnjähriger Junge im Anwesen des Herzogs ist. Der junge Lord ist zurück und dieses Mal wird er für seome Rache im Schatten von niemandem leben!"
6609,Serena,DRAMA,Ina,SATURDAY,21,4488,9.44,93344,5036,ONGOING,False,"Das Hotel Serenity ist das prestigeträchtigste und älteste Hotel der Hauptstadt vom Königreich Meuracevia. Hinter der prächtigen Fassade findet jedoch ein Rosenkrieg statt, denn Serena Serenity, die Alleinerbin des Hotels, und Eiser Leinz Grayan, ihr Ehemann, konkurrieren um die Führung des Hotels. Serena, die durch einen Business-Deal ihrer Großmutter in die lieblose Ehe mit Eiser gezwungen wurde, hasst ihren Ehemann und verbringt ihre Zeit viel lieber mit ihrem Liebhaber Frederick. Werden die beiden dazu in der Lage sein, ihre Differenzen beiseite zu legen und inmitten von Verrat und Intrigen das Überleben des Hotels und der Familie Serenity zu sichern?"
