title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
7114,La note noire,FANTASY,"Karim Alliane,Kisai Entertainment,Nuit Incolore",FRIDAY,3,10830,9.74,48218,5364,ONGOING,False,"Abandonné à la naissance, Théo, 17 ans, ne possède de sa mère qu’un étrange pendentif en forme de papillon. Solitaire, il trouve refuge dans la musique, tout en partageant sa vie avec Nuit Incolore, un démon mystérieux que seul lui peut voir. Tout bascule le jour où il découvre le pouvoir de la ""note noire » qu’il atteint parfois en chantant et qui éveille en lui d'étranges capacités. Entre mystères, musique et magie, le passé de Théo refait surface, bouleversant son quotidien de lycéen et son destin à jamais."
7113,Sublime Misère,ROMANCE,Anne Masse,"MONDAY,FRIDAY",5,3908,9.57,25312,5438,ONGOING,False,Eugénie est une pouilleuse auvergnate qui monte à Paris pour devenir une grande écrivaine. Atteindra-t-elle son but ? Se détournera-t-elle de son rêve à mesure qu’elle croise de jolis Parisiens ? S’achètera-t-elle des meubles ?
7108,Phyllyathium,THRILLER,SLYFOXH,WEDNESDAY,5,12931,9.69,72850,8749,ONGOING,False,"Un asile fut érigé dans l'objectif de traiter les malades atteints d'un mystérieux parasite. Elisabeth, une jeune infirmière choisie en raison de ses résultats exemplaires, y a été embauchée. En peu de temps, elle a été en mesure de rencontrer de nombreux patients, mais elle n'avait jamais observé un cas comme celui de Viktor auparavant. Une mission lui incombe : soigner ce patient dit ""incurable"". Mais, pouvait-elle imaginer qu'il lui montrerait l'obscurité insoupçonnée de cet asile qu'elle pensait connaître par coeur ?"
7082,"One Night, Two Friends",ROMANCE,"jjeonqueen,jium,mocana",TUESDAY,3,27998,8.61,261603,11559,ONGOING,True,"Eun-seol est amie avec Yoo-shin depuis qu'ils sont tous petits. Depuis quelques temps, elle a l'impression qu'il ne la voit plus comme une simple amie, et vice-versa. Elle n'a pas envie de gâcher leur longue amitié, mais... la curiosité va peut-être la pousser à faire une grosse bêtise !"
7081,Sa réponse à sa déclaration,ROMANCE,yejo,SUNDAY,6,21950,9.76,167572,12599,ONGOING,False,"Je détestais mon camarade de classe, Eun-Ho. Il était l'élève modèle, le garçon populaire du lycée. Je voulais devenir quelqu'un de meilleur mais je n'y arrivais pas et Eun-Ho, par sa seule présence, le faisait savoir. Oui, j'étais jalouse de lui. Mais, peut-être que dans cette jalousie, il y avait aussi un autre sentiment que j'aurais dû exprimer à l'époque, avant sa mort... . Quand j'ai découvert qu'il était mort, une seconde chance m'a été offerte. Je suis revenue à l'époque où je le méprisais. Cette fois-ci je pourrais lui faire face correctement, et changer ton destin."
7080, For My Own Good,ACTION,"millem,Saram,son,STUDIO DAM",WEDNESDAY,4,14331,9.61,68147,5245,ONGOING,False,"An 2044, les donjons du monde entier s'effondrent soudainement, provoquant une déferlante de monstres et annonçant la très prochaine apocalypse. Woo Hee-jae assiste, impuissant à cette terrible destruction, quand tout à coup, un petit objet étrange, qui semble totalement déréglé, déclenche un événement imprévu. Il se réveille alors 20 ans avant la catastrophe et décide de tout faire pour empêcher la fin du monde... et profiter d'une paisible retraite."
7069,Overtime Elite,SPORTS,"Brandon Chen,Laurel Pursuit,Inuupen,Overtime",FRIDAY,5,11185,9.45,71522,4961,ONGOING,False,"Depuis tout petit, Omari rêve de devenir joueur de basketball professionnel. Mais ce rêve a toujours été étouffé par la réalité… Entre l’école, l’argent et sa tante, son avenir reste incertain. Jusqu’au jour où un mystérieux recruteur repère son talent avec une balle et lui offre un ticket pour la Overtime Elite Academy, un programme de haute technologie visant à faire éclore les meilleurs joueurs du basketball de demain. Omari saura-t-il s’imposer face aux jeunes talents les plus compétitifs au monde, ou son rêve lui échappera-t-il à nouveau ?"
7056,Ce qui se cache derrière son sourire,ROMANCE,"Amid,Ri Yu,ARROZ","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",7,56729,9.58,526012,36240,ONGOING,False,"Eric Chladnie, victorieux après avoir mené une longue guerre contre la principauté de Shidate, reçoit comme ""récompense"" par le roi jaloux de son succès, la princesse méprisée et ""folle"" du palais. Ce qui déclenche la colère de toute sa famille, indignée de la décision du roi. Après le mariage, son père envisage donc l'assassinat de sa belle-fille et sa mère conseille Eric de ne pas s'attacher à elle. Cependant, il choisit de la traiter avec respect et de prendre soin d'elle, en dépit de son attitude enfantine. Mais, très vite il comprend que la princesse n'est pas folle, ni simple d'esprit. Il va alors essayer de dévoiler la raison de sa comédie, et ce que cache réellement la famille royale."
7055,Une demande en mariage inattendue,ROMANCE,"Hae sa,thisgun,dancheong,HongHong",FRIDAY,3,34294,9.07,455995,32663,ONGOING,True,"La seule survivante de la famille royale, Alicia, a été épargnée par celui qui a renversé sa famille, Cavernus. Au début, il l'a prise sous ses ailes par curiosité car elle était la première à accuser sa famille. Mais, il n'a fallu que peu de temps pour qu'il tombe éperdument amoureux d'elle. Cependant, Alicia ne sait pas si elle doit ouvrir son coeur ou s'enfuir avec leur enfant... ."
7054,Even When I’m Dead,ROMANCE,"Han Yoon seol,Best Friend,MIKA",TUESDAY,3,33250,9.46,576556,46036,ONGOING,True,"Le jour de ses noces, Réa découvre l'impensable : son fiancé et sa meilleure amie se voyaient dans son dos. Trahie par les deux personnes en qui elle avait placé sa confiance, elle en a perdu la vie. Mais au lieu de trouver le repos, elle se réveille dans le passé. Malgré ses tentatives de changer son destin, elle finit par mourir et recommence sans cesse la même vie. Elle découvre alors une vérité effroyable : quelqu'un la traquait et la tuait sous la couverture d'un accident. Réa ne cherche plus seulement à fuir son destin, mais à démasquer son bourreau et lui rendre la monnaie de sa pièce."
