title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
7106,大老婆的復仇,ROMANCE,"Mana Akaishi,Nazuzu Nagihama",TUESDAY,3,5132,9.83,39554,941,ONGOING,False,實里（31歲）和她最愛的老公從學生時代就開始交往，兩人的愛情開花結果，結婚後生了兒子，三人過著幸福快樂的日子。如此平穩的生活卻在某天她偷看了丈夫‧勇太的手機後轟然崩塌……。之後實里追查到丈夫的外遇現場，在那裡她目睹了勇大跟一名陌生女性以及她就讀高中的兒子三人像一家人般溫馨的吃著飯。「怎麼會有那個家庭？」在驚覺遭到丈夫長年以來的背叛後，實里展開了激烈的復仇計畫，開始破壞勇大極力維護的「另一個家庭」──。
7096,絕代君臨,MARTIAL_ARTS,"sidae,Y.H.JANG",WEDNESDAY,2,7129,9.54,40600,999,ONGOING,False,「這江湖，由我來掌控！」赤利乾是左手持君子劍，右手握地獄圖的神祕水果商之子。不僅口才了得、才藝出眾，還擁有輾壓群雄的武功實力。如此優秀的他，真實身分究竟是什麼？懷著「稱霸江湖」夢想的二十歲青年，即將展開他愉快的江湖之旅！——<絕對回歸>、<還生天魔>世界觀武俠巨作！
7095,傳奇獵人返老回春,FANTASY,"BBing,BAEK YOUNGMIN",MONDAY,3,6670,9.59,41300,1160,ONGOING,False,「要是我再年輕個10歲的話…！」年過八旬、正過著退休生活的傳奇獵人郭必成，因緣際會獲得不老的回春能力！重返青春的他，久違地回到了獵人業界，卻萬萬沒想到...這年代...這圈子裡的廢物也太多了吧！？
7094,黑暗侵襲,FANTASY,橘子橘,SUNDAY,5,7411,8.32,48961,1929,ONGOING,False,在一場罕見的月全蝕天象中，血紅的月亮出現時，無數的黑色粒子從月球上噴湧而出，席捲了地球，被黑色粒子擊中的人類變成了黑色的怪物。他們猶如喪屍一般攻擊其他活著的人，致使更多的人也變成黑色怪物。名為許柏進的大學生，在逃亡的過程中結識了自己的同伴們，並一同與怪物戰鬥。他們在求生中逐漸發現，這場浩劫並非源自於單純的自然災難！背後有著巨大的秘密等待眾人揭曉。
7093,代嫁皇后假戲成真,WESTERN_PALACE,"salgujelly,Aira,cleobbakdora",SATURDAY,3,11386,9.67,77284,1938,ONGOING,False,"希爾達代替為愛私奔的萊希莉亞公主，成為拉斐昂帝國的代理皇后。
希爾達原以為只要在公主回來前假裝真正的皇后就可以了…但在與皇帝里內爾共度初夜後，她的離婚計畫開始動搖。
「別著急，今晚…我會履行作為丈夫的第一個責任。」
"
7092,虛無弒神者,ACTION,KEON,FRIDAY,3,9650,8.78,57360,1392,ONGOING,False,眾神支配的末日後新世界。為了殺死奪走我家人的神，我踏入了死亡之境。「虛無啊，請借我力量，能夠殺死神的力量⋯！」
7091,南宮世家非人之人,MARTIAL_ARTS,HAESA,THURSDAY,4,3919,7.65,27747,597,ONGOING,False,"「我絕不會放過他！」
南宮世家家主「南宮玄昊」尚未完成武林統一大業，就慘遭家族內收留栽培的義子「白甄」所背叛，甚至把整個家族殘忍殲滅了！被白甄砍下頭的玄昊，在意識模糊、即將死去之際，突然回到了6年前，與他初次相見的年幼時期！然而，過去所發生的事件與意外卻全都改變了？「當時殺死我的人真的是你嗎？」真相隱藏在暗影中，一點一滴緩緩浮現..."
7090,試著逃離我,ROMANCE_M,"暳林,DaWoo,ANIYONG",TUESDAY,4,18524,9.14,181366,3689,ONGOING,False,【建議18歲以上閱讀】因母親撒下了彌天大謊，讓達芙娜一入宮就被貶為女傭、還被所有人嘲笑與唾棄！在這段艱苦的宮中生活裡，只有皇太子亞瑟拉德帶給她溫暖，達芙娜也因此深深為他著迷。不料她卻漸漸發現......溫暖的皇太子背後似乎也別有用心？
7089,隊長大亂鬥,ACTION,"Hyungwuk Shin,李光洙",SUNDAY,4,11979,9.42,100604,2588,ONGOING,False,"被家裡拋棄後，成為離家少年一夥老大的「林多俊」，某天偶然帶了「然偶」回家，但然偶卻在仁川引發了持刀襲擊事件，打算殺了財閥會長報仇，而阻止他的人，正是夢想成為資優生的最強少年「尹佳敏」。
另一方面，教權保護局的「羅火進」，正興致勃勃地旁觀著這件事。
《如果不想死》、《流氓讀書會》、《極權教師》的主角們的大亂鬥！
這是在他們的故事中，未曾提及的一場激烈戰鬥。"
7088,歸魂,EASTERN_PALACE,Yaongyi,FRIDAY,3,33125,9.32,219578,7894,ONGOING,False,"「我無論如何都要離開這個家。」
退妖師名門家的獨生女天玲，
因為她天生不具備退妖的靈力，一直以來都被家族的人瞧不起。
 
不過事實上，天玲擁有一項能力，那就是「靈眼」。
天玲的靈眼能看見魂魄等的存在，
後來，天玲企圖利用魂魄離開天氏家…
 
「因為非人類的存在而感到心跳加快?!」
和魂靈之間的奇妙浪漫史就此展開。"
