title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
7121,A Savage Proposal,ROMANCE,"Lee yuna,team IRUKA",MONDAY,3,218222,6.94,1048454,63293,ONGOING,False,"When the ruthless Lord Tiwakan seizes the kingdom of Nauk, Princess Liene Arsac faces an impossible choice: marry her captor or watch her homeland crumble. But Lord Tiwakan isn’t just after power; he desires Liene, and his devotion stirs a mix of fear and undeniable attraction within her. With her former betrothed, Lafitte, still missing, Liene must decide whether to trust Tiwakan's promises or hold out hope for a rescue. As dangerous secrets come to light, Liene’s decision could change the fate of Nauk—and her own heart—forever."
7112,When Two Villains Meet,ROMANCE,"Lim Hayam,Sark,ssogariii",TUESDAY,7,142188,8.37,911932,77298,ONGOING,False,"Atalante is the boss of a notorious organization that works in the empire’s shadow. One day, she receives a request from the emperor to assassinate a new target: the tyrant archduke Lionel Vianc.
Reluctantly leaving behind her simple life with her members, Atalante heads off to perform the assassination, but for some reason… the archduke doesn’t die.
After a mixup between a love potion and poison, Atalante finds herself in a frustrating predicament as the tyrant archduke not only refuses to die… but has also fallen in love with her!
"
7111,My Avatars’ Path to Greatness,FANTASY,"TestSample,LICO,HANSA",SUNDAY,6,45628,9.37,288879,28572,ONGOING,False,"Seonghyeon Han is a victim of a violent crime that left him with impaired legs and a fear of the outside world. Now, he faces an even greater challenge: while he gained the power to create clones, he has just 24 hours before being sent to another dimension. As the countdown ticks down, Seonghyeon makes a desperate move -- he sends his clone through the interdimensional portal, and discovers his real body can remain safe at home. Thus begins the epic tale of Seonghyeon's... clones."
7110,My Blood-Curdling Campus Life,DRAMA,NIMNI,WEDNESDAY,8,56790,9.29,486331,49589,ONGOING,False,"A cute guy with an angelic face? Check. A cold and aloof outsider with a cat? Check. A class full of vampires? Check... Wait, what? All her life, Seonha Shin has lived in the shadow of her sister, Seonghye, who is one year older than her. Luckily, there is one thing Seonha does better than her sister -- donating blood! When Seonha gets special admission into a prestigious university as a blood donor, she finally starts to feel like the main character of her life. Little did she know she'd be surrounded by vampires!"
7109,Duchess in Ruins,ROMANCE,"Candlebambi,Saedle,Lemon Frog",MONDAY,3,170167,8.64,649813,60191,ONGOING,False,"Edele Lancaster is the perfect noble lady who has been groomed for the job. But when her husband whom she married reluctantly commits treason, she is branded a traitor and becomes a slave. Distraught, she tries to kill herself to preserve honor as a noble lady, but her new master, Count Laslo Krissus prevents her from doing so. Will Edele be able to find freedom and happiness in her new life as Count Krissus’ maid?"
7063,Love and Other Wicked Things,ROMANCE,"Thabfu,Philline Harms,Dominique Riley",SATURDAY,3,39694,8.8,85342,13687,ONGOING,False,"Rhia Greenbrook is a witch from a long line of earth witches in the sleepy town of Oakriver. Even though she can’t practice divination like the rest of her family, she’s always embraced the traditions of the secret magical world she’s grown up in.

That is, until Valerie – a cute, bold fire witch who excels in divination comes to town looking for answers about her mother’s disappearance.

With their fates now intertwined, a dark presence looms over Oakriver, and it’s up to Rhia to tap into the full potential of her magic to save the town she loves"
7062,Adopting a Zombie,DRAMA,_gwagj,FRIDAY,3,51988,8.63,205043,17474,ONGOING,False,When a failed scientist falls in love with the zombie he's studying for a cure. 
7061,Worth the Candle,ACTION,"Alexander Wales,Betofu,Tristan Bellawala,WmW",WEDNESDAY,3,31419,9.53,85710,9116,ONGOING,False,"Juniper was always the Dungeon Master, never the player. He was always a creator of worlds rather than the one who walked within them…until now.

Somehow, the tables have turned in the most dramatic way possible. Juniper finds himself in a world filled with the wildest fantasies a mind could come up with, and his fingerprints are all over it.

Throughout this world, echoes of his own ideas and plots leave him feeling like he’s always one step behind. He finds bits and pieces of ancient influence strewn about every town he goes through. One thing is clear, though: Juniper walks this magical new world in someone else’s shadow.

It might all add up to something vital...if only he can survive long enough to figure it out."
7060,Surprise You're Gay!,COMEDY,laundromat&lawnmower,SUNDAY,3,68245,8.51,259824,36084,ONGOING,False,"Some are born gay, some achieve gayness, and some have gayness thrust upon them.

Sebastian has failed his Intro to Computer Science class two times already and now only has one more chance to pass. What can he do but ask Bianca, a local college scammer, to take his place for the entire semester? Will she be able to fool a professor who has met Sebastian before? Not to mention, what will happen when a girl named Chandler starts to develop a crush on ‘Sebastian’ A.K.A. Bianca? Bianca’s life is soon to be filled with drama, but she has no time for that. No, Bianca only has one goal—Don’t get caught. (A retelling of Shakespeare’s classic play, Twelfth Night.)  "
7059,New Magical Me,FANTASY,"Prinnstar,Chuuney,Greenie_Olivelie",TUESDAY,5,53285,9.27,270375,35650,ONGOING,False,"Erika is the city's strongest Magical Girl and leader of the dazzling Star Chroma group! But when she sacrifices herself to defeat the terrifying Spore Queen Miasma, it's up to her best friend Winnie to pick up the pieces. Or in this case, fall to pieces. 8 years later and Star Chroma is no more and Winnie is stuck in a dead end office job. But when the Spore Queen unexpectedly returns, Winnie will have to find a way to manage on her own. At least until an old friend reappears as well..."
7006,The Empress’s Two Wolves,ROMANCE,"LICO,Honey Bambi",SATURDAY,9,199096,8.63,1859185,153656,ONGOING,False,"In a world where destiny is branded on their skin, Sepia, the human empress of the beastkin empire, is threatened by a new rival: Titié, a white deer, with Demios the emperor’s name emblazoned on her chest. Amidst Titié’s malicious attempts, Sepia clings to her role as empress and the Star of Ishtar, determined to fulfill her destiny as the empire’s savior. Enter Roxan, a wolf beastkin and cousin to Demois, whose allure stirs Sepia’s feelings. In a web of love, loyalty, and deception, can Sepia reclaim her power and discover the truth of her heart?"
7005,Void Man,ACTION,KEON,SUNDAY,6,51697,8.91,311600,25181,ONGOING,False,"Gods have descended upon the world, and Da-il's ready to drag them all to hell. After the lives of his loved ones were taken by the gods, Da-il offers his soul in exchange for the powers of the very killer of gods, the Void."
7004,Absolute Regression,FANTASY,"JP,PARK JIN HWAN,Y.H.JANG",SATURDAY,8,109059,9.67,716776,71673,ONGOING,False,"The past has changed, but like a fiery comet, he still comes. Mugi Hwa, the one without equal, slashed through Murim's skies with his sword, toppling every lord who dared to face him–even Cheonma, Mugeuk Geom’s father.  But Mugeuk didn’t accept defeat. Instead, he turned to the forbidden: a time-bending ritual that hurled him into his own past. Now, retracing his steps, he races against the clock until Mugi emerges once again. But this time, it's not just about power, but mending old wounds and forging new bonds to unite his people and prepare for the bloodtide to come.
"
6997,Special Civil Servant,ACTION,"Kwon Sora,Seo Jaewon,ch",SUNDAY,8,71179,9.82,521918,57159,ONGOING,False,"Socially-awkward Maru Han bombs his fifth attempt at getting a dream job in the civil service. But after a strange creature attacks him in the mountains, he finds himself recruited into the Special Civil Service for the Ministry of Environment. This secret organization is dedicated to fighting nachal, human-devouring demons who appear in clouds of yellow dust. As Maru struggles in his new job fighting nachal, he must find out why they're mysteriously drawn to him before the prophesied end of the world arrives.				"
6996,Juvenile Detention Center,ACTION,"Chungmin,Lee Soo hyon",WEDNESDAY,7,73007,9.32,519694,42954,ONGOING,False,"Juyeong is in a juvenile detention center for the attempted murder of his father, Gang-ryong. He clings to hope, dreaming of a future in Seoul with his childhood friend, Dayeon. But everything shatters when Dayeon is tragically killed by a rogue truck, and the devastation deepens when Juyeong learns that his father was behind the wheel.
In a cruel twist, Gang-ryong regains consciousness and offers Juyeong an ultimatum: “If you want revenge, become the king of this detention center!” Now, Juyeong must navigate the treacherous world of prison politics, determined to rise to power and avenge his friend.
"
